formula,compounds,cas,molar_weigth,tfp_k,Tb(K),Tc(K),Pc(bar),Vc(cm3/mol),zc,omega,tmin_K,tmax_K,cp_trange,cp_a0,cp_a1,cp_a2,cp_a3,cp_a4,cpig,cpliq,antoine_a,antoine_b,antoine_c,pvpmin_bar,tmin_k,pvpmax_bar,tmax_k
C5H10O2,ethyl propanoate,105-37-3,102.133,199.25,372.18,546,33.6,345,0.255,0.39,,,,,,,,,131.9,197.6,4.144,1274.7,209,0.02,282.4,2,395.85
C8H18,"2,2,4-trimethylpentane (isooctane)",540-84-1,114.231,165.8,372.39,543.9,25.7,469.7,0.266,0.304,200.0,1000.0,200.0-1000.0,0.384,0.077059,6.65E-06,-5.57E-08,2.62E-11,188.41,238.55,3.93646,1257.85,220.767,0.02,275.5,2,398.38
C4H10O,2-butanol (sec-butanol),78-92-2,74.123,158.5,372.66,536.05,41.79,269,0.252,0.574,50.0,1000.0,50.0-1000.0,3.86,0.028561,2.73E-05,-5.14E-08,2.12E-11,112.74,199,,,,,,,
H2O,water,7732-18-5,18.015,273.15,373.15,647.14,220.64,55.95,0.229,0.344,50.0,1000.0,50.0-1000.0,4.395,-0.004186,1.41E-05,-1.56E-08,6.32E-12,33.58,75.29,5.11564,1687.537,230.17,0.01,273.2,16,473.2
CH2O2,methanoic acid ,64-18-6,46.026,281.5,374.04,588,58.07,,,0.316,50.0,1000.0,50.0-1000.0,3.809,0.001568,3.59E-05,-4.41E-08,1.67E-11,53.45,99.17,,,,,,,
C7H14,methylcyclohexane,108-87-2,98.188,146.56,374.09,572.19,34.71,368,0.268,0.235,50.0,1000.0,50.0-1000.0,3.148,0.018438,0.00013624,-1.88E-07,7.36E-11,135.8,184.5,3.98232,1290.968,223.701,0.02,276.68,2,400.13
CH3NO2,nitromethane,75-52-5,61.04,244.6,374.35,588,58.7,173,0.208,,50.0,1000.0,50.0-1000.0,4.196,-0.001102,5.16E-05,-6.72E-08,2.66E-11,57.22,106.8,,,,,,,
C4H8O2,"1,4-dioxane",123-91-1,88.106,284.15,374.5,587,51.7,238,0.255,,50.0,1000.0,50.0-1000.0,3.73,0.001851,0.00011781,-1.56E-07,6.18E-11,92.18,154.5,,,,,,,
D2O,deuterium oxide,7789-20-0,20.028,276.96,374.55,643.89,216.71,56.26,0.228,,50.0,1000.0,50.0-1000.0,4.274,-0.003465,1.38E-05,-1.48E-08,5.68E-12,34.26,84.35,5.04327,1616.76,219.54,0.2,335.17,2,394.54
C5H10O2,propyl ethanoate (propyl acetate),109-60-4,102.133,178.15,374.65,549.4,33.3,345,0.252,0.389,,,,,,,,,134.9,202.2,4.05548,1233.46,203.08,0.02,284.4,2,398.6
C5H10O,3-pentanone (diethyl ketone),96-22-0,86.134,234.2,375.14,561.5,37.3,336,0.268,0.342,200.0,1000.0,200.0-1000.0,8.071,0.013654,6.12E-05,-8.34E-08,3.25E-11,129.87,191,4.42708,1481.17,233.01,0.02,281.9,2,399.12
C5H12O,2-methyl-2-butanol,75-85-4,88.15,264.4,375.15,545,37.9,323,0.27,0.478,298.0,1000.0,298.0-1000.0,4.282,0.027248,6.65E-05,-1.07E-07,4.47E-11,131.69,247.9,3.6442,863.4,135.3,0.02,299,2,396.11
C5H10O,2-pentanone (methyl propyl ketone),107-87-9,86.134,196.34,375.39,561.1,36.9,301,0.238,0.346,200.0,1000.0,200.0-1000.0,7.836,0.009051,8.06E-05,-1.08E-07,4.28E-11,125.9,184.3,4.1514,1316.73,215.38,0.02,282.84,2,399.74
C5H10O2,methyl butanoate,623-42-7,102.133,187.35,375.9,554.4,34.8,340,0.257,0.381,,,,,,,,,133.1,200.8,4.10641,1271.06,207.21,0.02,284.9,2,399.96
C7H14,ethylcyclopentane,1640-89-7,98.188,134.7,376.59,569.5,33.97,375,0.269,0.27,50.0,1000.0,50.0-1000.0,5.847,-4.80E-05,0.00017507,-2.25E-07,8.66E-11,133.6,186.6,4.00408,1293.712,220.12,0.02,279.88,2,402.39
C8F18,octadecafluorooctane,307-34-6,438.059,,379.05,502.2,16.6,534.4,0.281,0.619,200.0,1000.0,200.0-1000.0,3.352,0.193679,-0.00024528,1.55E-07,-3.96E-11,358.07,429,,,,,,,
C4H8O2,"1,3-dioxane",505-22-6,88.106,228.15,379.2,588,45.8,257,0.241,,50.0,1000.0,50.0-1000.0,3.834,-0.000249,0.00011985,-1.55E-07,6.05E-11,89.47,143.9,,,,,,,
C8H18,"2,2,3,3-tetramethylbutane",594-82-1,114.231,373.94,379.44,567.8,28.7,482,0.28,0.248,200.0,1000.0,200.0-1000.0,0.768,0.07295,1.66E-05,-6.32E-08,2.89E-11,187.19,279.1,3.9042,1270.1,219.5,0.9,375.2,2,406
C8H18,"2,2-dimethylhexane",590-73-8,114.231,151.98,379.99,549.8,25.3,478,0.265,0.339,200.0,1000.0,200.0-1000.0,3.452,0.055222,6.07E-05,-1.13E-07,4.73E-11,188.3,249.2,3.95748,1271.18,214.83,0.02,283,2,405.96
C4H10O,2-methyl-1-propanol (isobutanol),78-83-1,74.123,,381.04,547.78,43,273,0.258,0.59,,,,,,,,,113,183,4.34504,1190.38,166.67,0.02,303.4,2,400.84
C5H11Cl,1-chloropentane,543-59-9,106.595,174.15,381.54,552,,,,,200.0,1000.0,200.0-1000.0,7.052,0.009759,0.0001021,-1.41E-07,5.64E-11,130.58,,3.93641,1271.16,215,0.02,283.72,2,407.81
C8H18,"2,5-dimethylhexane",592-13-2,114.231,181.99,382.26,550,24.9,482,0.262,0.357,200.0,1000.0,200.0-1000.0,-1.367,0.087285,-1.80E-05,-3.34E-08,1.86E-11,185.48,249.2,3.98112,1285.47,214.248,0.02,285.2,2,408.2
C6H15N,dipropyl amine,142-84-7,101.192,210.15,382.3,550,31.4,402,0.276,,,,,,,,,,,,,,,,,,
C8H18,"2,4-dimethylhexane",589-43-5,114.231,,382.58,553.5,25.6,472,0.263,0.344,200.0,1000.0,200.0-1000.0,-3.372,0.108645,-7.27E-05,2.18E-08,-1.03E-12,192.3,250.08,3.97399,1285.85,214.6,0.02,285.2,2,408.63
C8H18,"2,2,3-trimethylpentane",564-02-3,114.231,160.9,382.99,563.4,27.3,436,0.254,0.298,200.0,1000.0,200.0-1000.0,-4.49,0.108022,-6.49E-05,1.44E-08,1.42E-12,185.64,245.39,3.94826,1293.94,218.355,0.02,283.9,2,409.56
C6H12O2,ethyl 2-methylpropanoate,97-62-1,116.16,185,383,553,30.7,421,0.281,,,,,,,,,,154,222,,,,,,,
C7H8,toluene,108-88-3,92.141,178.16,383.79,591.75,41.08,316,0.264,0.264,50.0,1000.0,50.0-1000.0,3.866,0.003558,0.00013356,-1.87E-07,7.69E-11,103.75,157.29,4.05043,1327.62,217.625,0.02,286.44,2,409.61
C8H18,"3,3-dimethylhexane",563-16-6,114.231,147.06,385.12,562,26.5,442.8,0.251,0.32,200.0,1000.0,200.0-1000.0,-2.093,0.09448,-2.81E-05,-2.81E-08,1.82E-11,190.87,246.6,3.97403,1306.96,217.376,0.02,286.1,2,411.59
C5H12O,3-methyl-2-butanol,598-75-4,88.15,,385.2,556.1,38.7,,,,,,,,,,,,,245.9,,,,,,,
C8H18,"2,3,4-trimethylpentane",565-75-3,114.231,163.97,386.62,566.3,27.3,456.2,0.267,0.316,,,,,,,,,191.59,248.61,3.977,1314.31,217.481,0.04,300.19,2,413.19
H4N2,hydrazine,302-01-2,32.045,274.68,386.65,653.01,147,101.1,0.282,,50.0,1000.0,50.0-1000.0,3.627,0.002239,2.88E-05,-4.06E-08,1.69E-11,49.12,96.8,4.9268,1679.07,227.7,0.02,298.9,2,408.43
C8H18,"2,3,3-trimethylpentane",560-21-4,114.231,172.48,387.92,573.5,28.2,455.1,0.269,0.291,200.0,1000.0,200.0-1000.0,-5.726,0.117939,-8.94E-05,4.01E-08,-8.16E-12,187.02,245.56,3.96421,1325.81,220.161,0.02,287,2,414.91
C5H5N,pyridine,110-86-1,79.101,231.43,388.37,620,56.7,254,0.267,0.242,298.0,1000.0,298.0-1000.0,-3.505,0.049389,-1.75E-05,-1.60E-08,1.10E-11,78.23,132.7,4.16749,1373.026,214.69,0.02,292.51,2,413.57
C8H18,"2,3-dimethylhexane",584-94-1,114.231,,388.76,563.4,26.3,468.2,0.263,0.347,200.0,1000.0,200.0-1000.0,-3.594,0.100983,-4.88E-05,-3.42E-09,7.89E-12,184.1,248.78,3.99236,1314.29,214.059,0.02,290,2,415.13
C8H18,3-ethyl-2-methylpentane,609-26-7,114.231,158.18,388.81,567,27,445.3,0.254,0.331,200.0,1000.0,200.0-1000.0,-0.873,0.095193,-5.32E-05,1.18E-08,0,192.05,248.91,3.9861,1317.05,215.229,0.02,289.5,2,415.31
C6H12O,4-methyl-2-pentanone (methyl isobutyl ketone),108-10-1,100.161,189.15,389.15,574.6,32.7,340.6,0.256,0.351,,,,,,,,,,,3.8222,1190.6904,195.45,0.02,293.4,2,415.85
C6H12O2,2-methylpropyl ethanoate (isobutyl acetate),110-19-0,116.16,174.25,389.72,561,31.6,413,0.266,0.456,,,,,,,,,154.3,241.1,4.3546,1462.4,219.7,0.02,295,2,414.22
C7H3F5,pentafluorotoluene,771-56-2,182.093,243.35,390.65,566.52,31.24,384,0.255,0.415,,,,,,,,,,,,,,,,,
C8H18,2-methylheptane,592-27-8,114.231,164.13,390.8,559.6,24.8,488.2,0.26,0.378,200.0,1000.0,200.0-1000.0,5.257,0.041188,9.74E-05,-1.57E-07,6.57E-11,187.23,251.99,4.03877,1335.22,213.415,0.03,299.81,2,416.95
C8H18,4-methylheptane,589-53-7,114.231,152.21,390.86,561.7,25.4,476,0.259,0.371,200.0,1000.0,200.0-1000.0,2.182,0.062828,4.42E-05,-1.00E-07,4.36E-11,187.02,251.08,4.02214,1325.704,212.367,0.02,292.5,2,417.05
C4H10O,1-butanol,71-36-3,74.123,183.35,390.88,563.05,44.23,275,0.26,0.59,50.0,1000.0,50.0-1000.0,4.467,0.016395,6.69E-05,-9.69E-08,3.86E-11,108.03,177.06,4.6493,1395.14,182.739,0.02,310.18,2,411.26
C8H18,"3,4-dimethylhexane",583-48-2,114.231,,390.88,568.8,26.9,458.8,0.265,0.338,200.0,1000.0,200.0-1000.0,-6.148,0.116522,-8.35E-05,2.96E-08,-3.44E-12,182.34,246.9,4.0031,1329.4,214.836,0.02,291.4,2,417.4
C2H4O2,ethanoic acid (acetic acid),64-19-7,60.053,289.77,391.04,594.45,57.9,171,0.2,0.445,50.0,1000.0,50.0-1000.0,4.375,-0.002397,6.76E-05,-8.76E-08,3.48E-11,63.44,123.1,4.54456,1555.12,224.65,0.02,297.58,2,414.97
C6ClF5,chloropentafluorobenzene,344-07-0,202.511,,391.11,570.81,32.37,376,0.256,0.4,200.0,1000.0,200.0-1000.0,2.994,0.074969,-8.45E-05,4.89E-08,-1.18E-11,158.3,,,,,,,,
C8H18,3-ethyl-3-methylpentane,1067-08-9,114.231,182.31,391.42,576.5,28.1,455.1,0.267,0.305,200.0,1000.0,200.0-1000.0,-1.35,0.088584,-1.96E-05,-3.14E-08,1.79E-11,187.99,245.89,3.9895,1345.92,219.584,0.02,290.1,2,418.46
C5H12S,3-methyl-1-butanethiol (isopentyl,541-31-1,104.216,139.64,391.5,604,35,364,0.254,0.191,,,,,,,,,142.3,200.3,4.03981,1342.509,214.446,0.02,292.6,2,417.78
C8H18,3-ethylhexane,619-99-8,114.231,,391.69,565.4,26.1,460.5,0.253,0.362,200.0,1000.0,200.0-1000.0,7.178,0.03372,0.00010365,-1.53E-07,6.09E-11,189.62,250.29,4.01533,1327.93,212.645,0.02,292.9,2,418.01
C7H14,cycloheptane,291-64-5,98.188,265.15,391.95,604.3,38.4,359,0.274,0.242,,,,,,,,,,,3.9633,1322.21997,215.297,0.02,291.4,2,418.89
C8H18,3-methylheptane,589-81-1,114.231,152.63,392.08,563.6,25.5,471.1,0.253,0.371,,,,,,,,,185.8,250.2,4.01533,1326.14,211.813,0.04,306.32,2,418.36
C5H12O,2-pentanol,6032-29-7,88.15,,392.3,560.3,36.75,329,0.26,0.561,,,,,,,,,,,4.42349,1291.212,173.13,0.008,298.12,0.735,383.34
C8H16,1-octene,111-66-0,112.215,171.46,394.44,567,26.8,468,0.266,0.393,200.0,1000.0,200.0-1000.0,8.745,0.01324,0.00015096,-2.09E-07,8.37E-11,176.1,241.4,4.05985,1355.46,213.05,0.02,295.47,2,420.71
C6H14O,2-methyl-2-pentanol,590-36-3,102.177,171.15,394.51,559.5,34.7,380,0.283,0.573,,,,,,,,,,,3.27663,811.05,126.6,0.02,309.5,2,419.12
C6H12O2,ethyl butanoate,105-54-4,116.16,175.15,394.69,566,30.6,421,0.274,0.463,,,,,,,,,154.6,255.7,3.27456,921.56,160.38,0.02,298,2,422.69
C9H20,"2,2,4,4-tetramethylpentane",1070-87-7,128.258,206.64,395.44,574.6,24.9,504,,0.314,200.0,1000.0,200.0-1000.0,3.621,0.067875,4.88E-05,-1.01E-07,4.29E-11,214.94,,3.92055,1324.65,216.08,0.02,292.79,2,423.04
C6H12O2,propyl propanoate,106-36-5,116.16,197.25,395.64,578,30.9,394,0.253,0.373,,,,,,,,,153.1,229.1,4.4489,1545.3,225.3,0.02,299.2,2,420.4
C6H12O,3-hexanone (ethyl propyl ketone),589-38-8,100.161,217.5,396.65,582.8,33.2,378,0.256,0.38,200.0,1000.0,200.0-1000.0,9.357,0.013505,8.74E-05,-1.19E-07,4.71E-11,152.51,216.8,4.11658,1359.88,207.3,0.02,299.6,2,422.25
C9H20,"2,2,5-trimethylhexane",3522-94-9,128.258,167.37,397.24,569.8,,519,,,200.0,1000.0,200.0-1000.0,-0.88,0.092152,-4.23E-06,-5.26E-08,2.60E-11,208.11,,3.97372,1332.86,211.81,0.02,296.3,2,424.25
C6H12O2,3-methylbutyl methanoate (isopentyl,110-45-2,116.16,179.65,397.28,578,31.3,411.4,0.252,0.4,,,,,,,,,155.8,241.3,4.2488,1439.4,215.1,0.02,300,2,422.66
C9F20,eicosafluorononane,375-96-2,488.067,,398.45,523.9,15.6,590.6,0.282,0.635,200.0,1000.0,200.0-1000.0,3.697,0.217163,-0.00027706,1.77E-07,-4.59E-11,400.11,,,,,,,,
C8H18,octane,111-65-9,114.231,216.39,398.82,568.7,24.9,492,0.259,0.399,200.0,1000.0,200.0-1000.0,10.824,0.004983,0.00017751,-2.31E-07,8.98E-11,187.78,254.15,4.05075,1356.36,209.635,0.02,299.42,2,425.23
BrF3,bromine trifluoride,7787-71-5,136.899,281.92,398.89,600,49.9,114.7,0.115,0.413,,,,,,,,,,,4.85464,1673.95,219.48,0.02,309.09,2,421.28
C6H12O2,butyl ethanoate (butyl acetate),123-86-4,116.16,199.65,399.12,579,30.9,412.8,0.253,0.407,,,,,,,,,151.5,228.4,4.5,1596.7,229.3,0.02,301,2,424.11
C6H12O2,methyl pentanoate,624-24-8,116.16,,400.55,567,31.9,416.3,0.267,,,,,,,,,,155.8,229.3,,,,,,,
C6H12O,2-hexanone (methyl butyl ketone),591-78-6,100.161,217.4,400.7,587,33.2,378,0.254,0.393,200.0,1000.0,200.0-1000.0,9.146,0.008701,0.00010736,-1.45E-07,5.77E-11,148.53,213.4,4.1533,1395.8,208.98,0.02,302.68,2,426.5
C6H14O,2-methyl-3-pentanol,565-67-3,102.177,,401.2,576,34.6,,,,,,,,,,,,,,,,,,,,
C6H7N,2-methylpyridine (2-picoline),109-06-8,93.128,206.45,402.5,621,46,335,0.26,0.299,50.0,1000.0,50.0-1000.0,4.156,0.002699,0.00012517,-1.74E-07,7.16E-11,100.17,158.4,4.1555,1415.41,211.73,0.02,303.19,2,428.63
C6H10O,4-methyl-3-penten-2-one (mesityl oxide),141-79-7,98.147,,402.86,605,,353.43,,,,,,,,,,,,,,,,,,,
C4H5N,pyrrole,109-97-7,67.09,249.74,403,639.7,63.3,200,0.238,,50.0,1000.0,50.0-1000.0,3.554,-0.006426,0.00012231,-1.70E-07,7.10E-11,71.6,127.74,,,,,,,
C6H12O2,pentyl methanoate (pentyl formate),638-49-3,116.16,199.65,403.55,576,30.9,412,0.254,,,,,,,,,,156.2,243,,,,,,,
C5H12O,3-methyl-1-butanol,123-51-3,88.15,155.95,403.69,579.4,39.1,325,0.264,0.559,,,,,,,,,,211,4.07851,1128.19,146.47,0.02,321.9,2,425.34
C5H8O,cyclopentanone,120-92-3,84.118,222.5,403.72,624.5,46,268,0.237,0.288,50.0,1000.0,50.0-1000.0,4.294,-0.001236,0.0001308,-1.75E-07,7.07E-11,95.32,154.5,,,,,,,
C5H12O,2-methyl-1-butanol,137-32-6,88.15,,403.79,575.4,39.4,,,0.605,,,,,,,,,,,4.48266,1360.367,173.22,0.004,298.12,0.711,393.7
C2H4Br2,"1,2-dibromoethane",106-93-4,187.862,283.05,404.5,582.9,71.5,261.7,,,298.0,1000.0,298.0-1000.0,3.784,0.024587,-7.50E-06,-8.86E-09,6.01E-12,85.31,135.6,,,,,,,
C6H14O,4-methyl-2-pentanol,108-11-2,102.177,,404.86,574.5,33.1,380,0.263,0.552,,,,,,,,,,,4.6618,1566.76,204.79,0.02,315,2,427.65
C6H5Cl,chlorobenzene,108-90-7,112.558,227.9,404.91,632.4,45.2,308,0.265,0.251,200.0,1000.0,200.0-1000.0,0.104,0.038288,1.81E-05,-5.73E-08,2.72E-11,97.99,150.8,4.02012,1378.79,211.7,0.02,302.5,2,432.18
C9H20,"2,2-dimethylheptane",1071-26-7,128.258,160.16,405.97,577.8,23.5,525,0.257,0.383,,,,,,,,,211.3,283.4,3.9553,1346.1,208,0.02,303,2,433
C9H20,"2,2,3,4-tetramethylpentane",1186-53-4,128.258,152.06,406.18,592.7,25.3,490,0.258,0.301,200.0,1000.0,200.0-1000.0,-5.422,0.123507,-8.03E-05,2.59E-08,-2.61E-12,207.3,252.7,3.95552,1373.79,214.78,0.02,301.4,2,434.2
C7H14O2,ethyl 3-methylbutanoate,108-64-5,130.187,173.85,407.45,588,27.3,447,0.25,,,,,,,,,,176,253,,,,,,,
C7H14O2,propyl 2-methylpropanoate,644-49-5,130.187,,408.55,589,27.3,447,0.249,,,,,,,,,,175,254,,,,,,,
C6H14O,3-hexanol,623-37-0,102.177,,408.94,582.4,33.6,383,0.266,0.539,,,,,,,,,,269.3,6.1625,2662.265,296.62,0.008,298,1,411
C8H10,ethylbenzene,100-41-4,106.167,178.18,409.36,617.15,36.09,374,0.263,0.304,50.0,1000.0,50.0-1000.0,4.544,0.010578,0.00013644,-1.93E-07,7.89E-11,127.4,185.96,4.06861,1415.77,212.3,0.02,306.32,2,436.63
C7H14O2,2-methylpropyl propanoate,540-42-1,130.187,201.75,409.75,592,27.3,447,0.248,0.375,,,,,,,,,179.5,268,3.5618,1042.3,156.5,0.03,321.6,2,436.3
C10H22,"2,2,5,5-tetramethylhexane",1071-81-4,142.285,260.6,410.61,581.4,21.9,,,0.377,200.0,1000.0,200.0-1000.0,0.8,0.087376,3.17E-05,-9.35E-08,4.14E-11,228.78,,4.00614,1377.98,207,0.02,307.68,2,438.06
C5H12O,1-pentanol,71-41-0,88.15,194.25,411.16,588.15,39.09,326,0.262,0.579,200.0,1000.0,200.0-1000.0,5.53,0.016887,9.43E-05,-1.37E-07,5.61E-11,130.7,208.1,4.39646,1336.01,166.32,0.02,326.01,2,433.05
C8H10,"1,4-dimethylbenzene (p-xylene)",106-42-3,106.167,286.41,411.53,616.2,35.11,378,0.259,0.322,50.0,1000.0,50.0-1000.0,4.113,0.014909,0.0001181,-1.67E-07,6.74E-11,126.02,181.66,4.10494,1446.832,214.627,0.02,307.81,2,438.88
C8H10,"1,3-dimethylbenzene (m-xylene)",108-38-3,106.167,225.28,412.34,617,35.41,375,0.259,0.327,50.0,1000.0,50.0-1000.0,4.002,0.017537,0.0001059,-1.50E-07,6.01E-11,125.71,188.44,4.14051,1468.703,216.12,0.02,308.54,2,439.56
C4H6O3,acetic anhydride,108-24-7,102.09,199,412.69,606,40,,,0.456,298.0,1000.0,298.0-1000.0,-1.274,0.050172,-1.46E-05,-1.95E-08,1.24E-11,99.51,124.1,,,,,,,
C6H14O,2-hexanol,626-93-7,102.177,223,413.02,586.2,33.8,383,0.266,0.562,,,,,,,,,,,4.93223,1696.19,204.43,0.02,324.5,2,434.97
C9H20,"2,2,3,3-tetramethylpentane",7154-79-2,128.258,263.26,413.44,607.6,27.4,478,0.269,0.304,200.0,1000.0,200.0-1000.0,-6.019,0.131511,-9.92E-05,4.52E-08,-9.34E-12,209.8,284.2,3.95319,1397.69,213.78,0.02,306.6,2,442
C5H10O,cyclopentanol,96-41-3,86.134,,413.49,619.5,49,,,0.42,50.0,1000.0,50.0-1000.0,4.37,0.005723,0.00013357,-1.88E-07,7.73E-11,113,184.5,,,,,,,
C3H6O2,propanoic acid,79-09-4,74.079,252.31,414.31,604,45.3,233,0.207,0.539,,,,,,,,,,152.8,4.75466,1662.582,209.046,0.02,321.72,2,437.41
C9H20,"2,3,3,4-tetramethylpentane",16747-38-9,128.258,171.05,414.71,607.1,26.7,493,0.261,0.309,200.0,1000.0,200.0-1000.0,-9.189,0.161921,-0.00017927,1.27E-07,-3.87E-11,218.3,275.7,3.99105,1422.03,215.256,0.02,307.81,2,443.27
C7H14O2,3-methylbutyl ethanoate (isopentyl acetate),123-92-2,130.187,194.65,415.2,599,28.1,442,0.249,,,,,,,,,,173.5,265.4,,,,,,,
C9H20,2-methyloctane,3221-61-2,128.258,192.79,416.44,587,23.1,529,0.25,0.423,200.0,1000.0,200.0-1000.0,5.914,0.047039,0.00010387,-1.67E-07,6.85E-11,212.05,271.5,4.0366,1399.9,204,0.02,313,2,444
C7H14O2,propyl butanoate,105-66-8,130.187,177.95,416.5,600,27.8,449,0.25,0.399,,,,,,,,,175.8,257.2,3.40455,1019.49,156.6,0.02,316,2,445.04
C7H9N,"2,6-dimethylpyridine (2,6 lutidine)",108-48-5,107.155,267.03,416.91,623.8,39.8,367,0.282,0.373,50.0,1000.0,50.0-1000.0,3.413,0.031807,5.28E-05,-8.85E-08,3.61E-11,128.75,189.6,4.08748,1407.25,201.001,0.02,315.34,2,443.79
C6H7N,3-methylpyridine (3-picoline),108-99-6,93.128,254.96,417.28,645,44.8,288,0.241,0.279,50.0,1000.0,50.0-1000.0,4.14,0.00278,0.00012458,-1.73E-07,7.12E-11,99.99,158.7,4.1893,1492.13,212.53,0.02,314.03,2,444.37
C10F22,docosafluorodecane,307-45-9,538.075,,417.35,542.3,14.5,624.2,0.279,,200.0,1000.0,200.0-1000.0,4.042,0.240657,-0.00030888,1.99E-07,-5.22E-11,442.15,,,,,,,,
C8H10,"1,2-dimethylbenzene (o-xylene)",95-47-6,106.167,247.97,417.59,630.3,37.32,370,0.263,0.312,50.0,1000.0,50.0-1000.0,3.289,0.034144,4.99E-05,-8.34E-08,3.34E-11,132.31,188.07,4.09789,1458.706,212.041,0.02,312.75,2,445.3
C6H7N,4-methylpyridine (4-picoline),108-89-4,93.128,276.8,418.49,645.7,46.6,325.62,0.253,0.305,50.0,1000.0,50.0-1000.0,3.904,0.004296,0.00012062,-1.69E-07,6.94E-11,99.7,159,4.1675,1481.571,,0.02,315.05,2,445.68
C7H14O2,ethyl pentanoate,539-82-2,130.187,181.95,419.25,570,27.8,449,0.263,,,,,,,,,,177.3,257.5,,,,,,,
C7H12O2,butyl-2-propenoate(butylacrylate),141-32-2,128.175,,419.77,644,,427.54,,0.312,,,,,,,,,,,,,,,,,
C9H18,1-nonene,124-11-8,126.242,191.8,420.03,594,23.3,526,0.248,0.411,200.0,1000.0,200.0-1000.0,9.963,0.013704,0.00017511,-2.42E-07,9.69E-11,198.74,271.2,4.0792,1436.2,205.69,0.02,316.02,2,447.59
C6H14O,2-methyl-1-pentanol,105-30-6,102.177,,420.76,604.4,34.5,,,0.498,,,,,,,,,,249.2,6.1979,2625.143,276.33,0.003,298,1,423
C8H16O2,2-methylpropyl-2-methylpropanoate,97-85-8,144.214,192.45,421.75,602,24.5,501,0.245,,,,,,,,,,,,,,,,,,
C4H10N2,piperazine,110-85-0,86.136,384.6,421.772,661,,267.5,,,,,,,,,,,,,,,,,,,
C10H22,"2,2,5-trimethylheptane",20291-95-6,142.285,,423.9,598.9,22.4,569,0.256,0.398,200.0,1000.0,200.0-1000.0,-0.961,0.100294,2.37E-06,-6.88E-08,3.36E-11,229.2,306.4,4.00345,1417.4,203.8,0.02,318,2,452
C9H20,nonane,111-84-2,128.258,219.66,423.97,594.6,22.9,555,0.257,0.445,200.0,1000.0,200.0-1000.0,12.152,0.004575,0.00020416,-2.68E-07,1.05E-10,210.41,284.45,4.07356,1438.03,202.694,0.02,319.57,2,451.64
C8H16,cyclooctane,292-64-8,112.215,287.95,424.31,647.2,35.7,410,0.271,0.254,50.0,1000.0,50.0-1000.0,4.236,0.013119,0.00016313,-2.11E-07,7.99E-11,146.19,215.5,3.98125,1434.67,209.712,0.02,316,2,453.27
C6H14O,4-methyl-1-pentanol,626-89-1,102.177,,424.93,603.5,36.3,380,0.275,0.588,,,,,,,,,,,4.17605,1273.35,153.56,0.02,336.4,2,448.19
C9H12,1-methylethylbenzene (cumene),98-82-8,120.194,177.12,425.52,631,32.09,434.7,0.261,0.326,50.0,1000.0,50.0-1000.0,2.985,0.034196,0.00011938,-2.02E-07,8.92E-11,159.69,213.3,4.06112,1460.766,207.83,0.02,318.92,2,453.81
C4H8O2,2-methylpropanoic acid,79-31-2,88.106,227.05,427.57,605,37,290,0.213,0.618,,,,,,,,,,173,3.71153,1097.83,141.74,0.02,334,2,453.31
C6H10O,cyclohexanone,108-94-1,98.144,,428.59,653,40,,,0.299,50.0,1000.0,50.0-1000.0,4.416,-0.001248,0.00017367,-2.36E-07,9.60E-11,116.19,,,,,,,,
C10H22,"3,3,5-trimethylheptane",7154-80-5,142.285,,428.83,609.6,23.2,564,0.258,0.383,200.0,1000.0,200.0-1000.0,-2.999,0.118108,-4.18E-05,-2.36E-08,1.72E-11,232.8,295.3,3.98014,1435.43,205.49,0.02,320,2,458
C8H16O2,propyl 3-methylbutanoate,557-00-6,144.214,,429.05,609,24.9,502,0.247,,,,,,,,,,,,,,,,,,
C6H12O3,2-ethoxyethylacetate,111-15-9,132.165,,429.74,610.6,31.66,443.5,0.277,0.523,,,,,,,,,,,,,,,,,
